date (yyyy-MM-dd HH:mm:ss),U (kt),V (kt)
2022-09-01 12:12:47,-5.664085572996056,-7.249698933181841
2022-09-01 12:13:47,-5.789747597658503,-7.149742845404131
2022-09-01 12:14:47,-4.996174644486022,-6.876644452187053
2022-09-01 12:15:47,-5.7357643635104605,-8.191520442889917
2022-09-01 12:16:47,-6.359031170798459,-10.176577153877112
2022-09-01 13:00:47,-5.882101578162293,-9.05764213381058
2022-09-01 13:16:47,-6.0392833574840665,-8.953605783594451
2022-09-01 13:37:47,-7.5712089598338075,-10.81280698461469
2022-09-01 13:41:47,-7.634202294038163,-9.771333344723352
2022-09-01 13:42:47,-6.243971785052348,-11.74320298502373
2022-09-01 13:48:47,-5.617144200871972,-8.989309819258114
2022-09-01 14:08:47,-6.877117867544073,-7.121464023352647
2022-09-01 14:09:47,-6.956383272637484,-7.459807756515538
2022-09-01 14:10:47,-7.990306627407988,-7.990306627407988
2022-09-01 14:11:47,-7.825484607325123,-7.297382452668733
2022-09-01 14:12:47,-8.200737862381342,-9.43386975278465
2022-09-01 14:47:47,-8.573651497465942,-4.950000000000001
2022-09-01 14:48:47,-10.33190877221781,-4.8178481838439735
2022-09-01 14:49:47,-12.790051843011664,-4.909640908770615
2022-09-01 14:53:47,-10.670360427100627,-5.9146773670053125
2022-09-01 14:54:47,-10.845284368528507,-6.01163929105458
2022-09-01 15:21:47,-6.544932066918309,-8.082317999152497
2022-09-01 15:22:47,-8.337432198458544,-7.774781304712483
2022-09-01 15:23:47,-10.491470479669108,-8.495825279172806
2022-09-01 15:34:47,-7.174252457968146,-8.85946396060947
2022-09-01 16:56:47,-3.05156515810829,-5.739159353583025
2022-09-02 12:18:07,-6.4789844205937355,-6.947860165382119
2022-09-02 12:19:07,-8.414570696119917,-8.414570696119917
2022-09-03 12:51:07,-1.4884417214117955,-5.190813158066923
2022-09-03 12:52:07,-1.6080443759750522,-5.259676157796695
2022-09-03 12:53:07,-4.139256666114206,-6.373896316385222
2022-09-03 14:27:07,-4.9785880284562385,-5.338882021819944
2022-09-03 14:50:07,-4.643503493110538,-6.391234255562085
2022-09-04 14:04:22,-4.754338682901182,-6.309220529373613
2022-09-04 14:05:22,-4.517929970910099,-1.2954955723398962
2022-09-04 14:06:22,-3.785539852748633,0.3311918224411013
2022-09-04 14:07:22,-4.636443966187528,-1.2423314164920995
2022-09-04 14:08:22,-3.4771128536496883,-3.9999607751806914
2022-09-04 14:09:22,-3.8206041399010755,-5.258610463437158
2022-09-04 14:17:22,-2.450875657567623,3.7740175557544076
2022-09-08 11:36:13,-6.698091405657137,-5.233122540268096
2022-09-08 11:37:13,-4.34533796671228,-6.953994388482692
2022-09-08 11:38:13,-3.896613971122894,-7.3284650207290944
2022-09-08 11:39:13,-3.972611660362575,-8.51929319814451
2022-09-10 13:07:39,-2.61426736807213,-4.025618726138036
2022-09-11 11:27:04,-3.21337030658866,-4.948156350878002
2022-09-11 11:28:04,-2.774191012273844,-6.535584459512326
2022-09-12 11:26:04,-3.521036720894181,-6.622106946441953
2022-09-12 14:39:04,0.3244829287062551,-6.1915031154783575
2022-09-12 15:04:04,-3.900319767187113,-5.570233901165144
2022-09-13 11:16:04,-3.6337994949502463,-8.560695137107697
2022-09-13 11:17:04,-2.6605825129769043,-8.702373279263622
2022-09-13 11:22:04,-1.9837595439172753,-7.95642495546317
2022-09-13 11:23:04,-2.2258437878816784,-8.306962106085987
2022-09-13 11:25:04,-1.2201888273138009,-7.703969056642075
2022-09-13 11:26:04,-2.514396660615536,-8.224220901282104
2022-09-13 17:55:04,-9.420364620195526,-2.701246087006592
2022-09-13 17:56:04,-10.156372723180588,-4.953593958716576
